--------------------------------------------------------------------------------
Process Logger:
--------------------------------------------------------------------------------

{'name': 'Zoom.exe', 'pid': 7736, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 87.9921875}
{'name': 'SecurityHealthSystray.exe', 'pid': 7924, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 1.65234375}
{'name': 'OfficeClickToRun.exe', 'pid': 7932, 'username': None, 'vms': 50.4765625}
{'name': 'msedge.exe', 'pid': 8276, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 52.45703125}
{'name': 'RuntimeBroker.exe', 'pid': 8384, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 8.63671875}
{'name': 'ctfmon.exe', 'pid': 8432, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 4.3515625}
{'name': 'msedge.exe', 'pid': 8480, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 24.171875}
{'name': 'RuntimeBroker.exe', 'pid': 8532, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 4.23046875}
{'name': 'Code.exe', 'pid': 8596, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 12.546875}
{'name': 'svchost.exe', 'pid': 8600, 'username': None, 'vms': 11.796875}
{'name': 'CptHost.exe', 'pid': 8840, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 6.8984375}
{'name': 'SecurityHealthService.exe', 'pid': 9060, 'username': None, 'vms': 5.57421875}
{'name': 'msedge.exe', 'pid': 9280, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 6.44921875}
{'name': 'svchost.exe', 'pid': 9408, 'username': None, 'vms': 1.59765625}
{'name': 'taskhostw.exe', 'pid': 9424, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 3.2890625}
{'name': 'Code.exe', 'pid': 9468, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 52.69921875}
{'name': 'Code.exe', 'pid': 9488, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 22.0859375}
{'name': 'cmd.exe', 'pid': 9580, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 2.40625}
{'name': 'Code.exe', 'pid': 9624, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 45.97265625}
{'name': 'svchost.exe', 'pid': 9768, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 10.109375}
{'name': 'SynTPHelper.exe', 'pid': 10336, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 1.02734375}
{'name': 'fontdrvhost.exe', 'pid': 10376, 'username': None, 'vms': 2.03125}
{'name': 'MsMpEng.exe', 'pid': 10408, 'username': None, 'vms': 349.7421875}
{'name': 'conhost.exe', 'pid': 10544, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 6.8046875}
{'name': 'msedge.exe', 'pid': 10620, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 1.9921875}
{'name': 'Code.exe', 'pid': 10636, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 10.4609375}
{'name': 'WavesSvc64.exe', 'pid': 10972, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 15.5}
{'name': 'SearchProtocolHost.exe', 'pid': 11128, 'username': None, 'vms': 2.28125}
{'name': 'RuntimeBroker.exe', 'pid': 11164, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 6.1796875}
{'name': 'FileCoAuth.exe', 'pid': 11424, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 3.64453125}
{'name': 'chrome.exe', 'pid': 11684, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 32.24609375}
{'name': 'svchost.exe', 'pid': 11724, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 10.1953125}
{'name': 'chrome.exe', 'pid': 11796, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 142.0234375}
{'name': 'svchost.exe', 'pid': 12084, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 3.69140625}
{'name': 'OneDrive.exe', 'pid': 12104, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 43.8203125}
{'name': 'winlogon.exe', 'pid': 12116, 'username': None, 'vms': 2.56640625}
{'name': 'igfxEM.exe', 'pid': 12148, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 3.62890625}
{'name': 'chrome.exe', 'pid': 12372, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 135.91015625}
{'name': 'Code.exe', 'pid': 12468, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 55.73046875}
{'name': 'svchost.exe', 'pid': 12536, 'username': None, 'vms': 4.26171875}
{'name': 'chrome.exe', 'pid': 12868, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 63.71484375}
{'name': 'SynTPEnh.exe', 'pid': 12872, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 5.92578125}
{'name': 'dllhost.exe', 'pid': 12884, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 3.9765625}
{'name': 'chrome.exe', 'pid': 12948, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 11.69921875}
{'name': 'SearchApp.exe', 'pid': 13144, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 133.68359375}
{'name': 'svchost.exe', 'pid': 13724, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 1.65234375}
{'name': 'svchost.exe', 'pid': 13756, 'username': None, 'vms': 1.3046875}
{'name': 'python.exe', 'pid': 13940, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 15.23046875}
{'name': 'SearchFilterHost.exe', 'pid': 14132, 'username': None, 'vms': 1.41796875}
{'name': 'RuntimeBroker.exe', 'pid': 14192, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 4.51953125}
