--------------------------------------------------------------------------------
Process Logger:
--------------------------------------------------------------------------------

{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375}
{'pid': 8600, 'username': None, 'name': 'svchost.exe', 'vms': 11.796875}
{'pid': 8840, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'CptHost.exe', 'vms': 6.8984375}
{'pid': 9060, 'username': None, 'name': 'SecurityHealthService.exe', 'vms': 5.57421875}
{'pid': 9280, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'msedge.exe', 'vms': 6.44921875}
{'pid': 9408, 'username': None, 'name': 'svchost.exe', 'vms': 1.59765625}
{'pid': 9424, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'taskhostw.exe', 'vms': 3.23828125}
{'pid': 9468, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'Code.exe', 'vms': 52.9375}
{'pid': 9488, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'Code.exe', 'vms': 22.359375}
{'pid': 9580, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'cmd.exe', 'vms': 2.41015625}
{'pid': 9624, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'Code.exe', 'vms': 43.59375}
{'pid': 9768, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'svchost.exe', 'vms': 9.9609375}
{'pid': 9884, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'backgroundTaskHost.exe', 'vms': 6.98828125}
{'pid': 10336, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'SynTPHelper.exe', 'vms': 1.02734375}
{'pid': 10376, 'username': None, 'name': 'fontdrvhost.exe', 'vms': 2.828125}
{'pid': 10408, 'username': None, 'name': 'MsMpEng.exe', 'vms': 352.04296875}
{'pid': 10544, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'conhost.exe', 'vms': 6.77734375}
{'pid': 10620, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'msedge.exe', 'vms': 1.9921875}
{'pid': 10636, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'Code.exe', 'vms': 10.46875}
{'pid': 10972, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'WavesSvc64.exe', 'vms': 15.5}
{'pid': 11128, 'username': None, 'name': 'SearchProtocolHost.exe', 'vms': 2.30078125}
{'pid': 11164, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'RuntimeBroker.exe', 'vms': 6.11328125}
{'pid': 11424, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'FileCoAuth.exe', 'vms': 4.3828125}
{'pid': 11724, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'svchost.exe', 'vms': 10.05859375}
{'pid': 11796, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'chrome.exe', 'vms': 143.828125}
{'pid': 11816, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'CodeSetup-stable-e7e037083ff4455cf320e344325dacb480062c3c.exe', 'vms': 7.04296875}
{'pid': 12084, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'svchost.exe', 'vms': 3.69140625}
{'pid': 12104, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'OneDrive.exe', 'vms': 43.7578125}
{'pid': 12116, 'username': None, 'name': 'winlogon.exe', 'vms': 2.640625}
{'pid': 12124, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'chrome.exe', 'vms': 132.88671875}
{'pid': 12148, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'igfxEM.exe', 'vms': 3.62890625}
{'pid': 12192, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'RuntimeBroker.exe', 'vms': 8.57421875}
{'pid': 12372, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'chrome.exe', 'vms': 148.2890625}
{'pid': 12468, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'Code.exe', 'vms': 71.05859375}
{'pid': 12536, 'username': None, 'name': 'svchost.exe', 'vms': 4.2578125}
{'pid': 12868, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'chrome.exe', 'vms': 64.8671875}
{'pid': 12872, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'SynTPEnh.exe', 'vms': 5.92578125}
{'pid': 12884, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'dllhost.exe', 'vms': 3.9765625}
{'pid': 12948, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'chrome.exe', 'vms': 11.69921875}
{'pid': 13144, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'SearchApp.exe', 'vms': 132.15625}
{'pid': 13724, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'svchost.exe', 'vms': 1.6015625}
{'pid': 13756, 'username': None, 'name': 'svchost.exe', 'vms': 1.22265625}
{'pid': 14192, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'RuntimeBroker.exe', 'vms': 4.51953125}
