--------------------------------------------------------------------------------
My File Process Logger : Mon Oct  2 00:30:34 2023
--------------------------------------------------------------------------------

{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 7468, 'vms': 4.7890625}
{'name': 'svchost.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 7496, 'vms': 3.7734375}
{'name': 'svchost.exe', 'username': None, 'pid': 7616, 'vms': 5.69140625}
{'name': 'LocationNotificationWindows.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 7664, 'vms': 1.51171875}
{'name': 'Code.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 7772, 'vms': 58.1328125}
{'name': 'python.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 7864, 'vms': 15.1796875}
{'name': 'StartMenuExperienceHost.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 7900, 'vms': 27.41015625}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 7964, 'vms': 6.57421875}
{'name': 'nearby_share.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 8024, 'vms': 71.0859375}
{'name': 'SearchApp.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 8108, 'vms': 177.97265625}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 8176, 'vms': 10.09765625}
{'name': 'ShellExperienceHost.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 8220, 'vms': 23.1015625}
{'name': 'conhost.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 8300, 'vms': 7.92578125}
{'name': 'SearchFilterHost.exe', 'username': None, 'pid': 8308, 'vms': 1.42578125}
{'name': 'TextInputHost.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 8512, 'vms': 15.06640625}
{'name': 'Code.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 8588, 'vms': 10.5390625}
{'name': 'svchost.exe', 'username': None, 'pid': 8600, 'vms': 11.21484375}
{'name': 'chrome.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 8612, 'vms': 154.359375}
{'name': 'chrome.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 8664, 'vms': 6.5390625}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 8840, 'vms': 4.23828125}
{'name': 'SDXHelper.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 8852, 'vms': 10.80859375}
{'name': 'SecurityHealthSystray.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 8988, 'vms': 1.7265625}
{'name': 'SecurityHealthService.exe', 'username': None, 'pid': 9060, 'vms': 4.2734375}
{'name': 'svchost.exe', 'username': None, 'pid': 9160, 'vms': 1.69140625}
{'name': 'chrome.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 9188, 'vms': 133.7109375}
{'name': 'RtkNGUI64.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 9244, 'vms': 4.46875}
{'name': 'ApplicationFrameHost.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 9256, 'vms': 16.375}
{'name': 'RAVBg64.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 9292, 'vms': 4.1484375}
{'name': 'WavesSvc64.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 9420, 'vms': 15.9765625}
{'name': 'Code.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 9920, 'vms': 12.59375}
{'name': 'SystemSettings.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 10028, 'vms': 27.6875}
{'name': 'OneDrive.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 10088, 'vms': 45.1015625}
{'name': 'chrome.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 10512, 'vms': 17.234375}
{'name': 'msedge.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 10584, 'vms': 53.0625}
{'name': 'msedge.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 10612, 'vms': 1.9921875}
{'name': 'msedge.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 10812, 'vms': 24.21875}
{'name': 'msedge.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 10820, 'vms': 11.484375}
{'name': 'msedge.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 10840, 'vms': 6.5625}
{'name': 'svchost.exe', 'username': None, 'pid': 11056, 'vms': 1.21484375}
{'name': 'LockApp.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 11284, 'vms': 16.6796875}
{'name': 'chrome.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 11348, 'vms': 26.0}
{'name': 'CalculatorApp.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 11356, 'vms': 27.640625}
{'name': 'chrome.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 11416, 'vms': 84.94140625}
{'name': 'backgroundTaskHost.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 11788, 'vms': 22.94140625}
{'name': 'SearchProtocolHost.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 11880, 'vms': 1.80859375}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 12160, 'vms': 1.35546875}
{'name': 'chrome.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 12168, 'vms': 25.08203125}
{'name': 'svchost.exe', 'username': None, 'pid': 12224, 'vms': 2.79296875}
{'name': 'taskhostw.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 12676, 'vms': 2.0703125}
{'name': 'backgroundTaskHost.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 13060, 'vms': 7.18359375}
{'name': 'chrome.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 13092, 'vms': 56.00390625}
{'name': 'SearchProtocolHost.exe', 'username': None, 'pid': 13108, 'vms': 2.3671875}
