--------------------------------------------------------------------------------
My File Process Logger : Mon Oct  2 10:45:16 2023
--------------------------------------------------------------------------------

{'name': 'chrome.exe', 'pid': 8888, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 143.44921875}
{'name': 'msedge.exe', 'pid': 8980, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 24.17578125}
{'name': 'SecurityHealthService.exe', 'pid': 9060, 'username': None, 'vms': 4.4921875}
{'name': 'SearchProtocolHost.exe', 'pid': 9244, 'username': None, 'vms': 2.26953125}
{'name': 'ApplicationFrameHost.exe', 'pid': 9444, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 12.45703125}
{'name': 'RuntimeBroker.exe', 'pid': 9520, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 3.4375}
{'name': 'chrome.exe', 'pid': 9552, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 106.2890625}
{'name': 'MicrosoftEdgeUpdate.exe', 'pid': 9620, 'username': None, 'vms': 1.8515625}
{'name': 'Code.exe', 'pid': 9644, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 12.125}
{'name': 'Code.exe', 'pid': 9920, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 48.54296875}
{'name': 'audiodg.exe', 'pid': 10144, 'username': None, 'vms': 10.58203125}
{'name': 'dwm.exe', 'pid': 10152, 'username': None, 'vms': 42.859375}
{'name': 'RuntimeBroker.exe', 'pid': 10224, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 6.37109375}
{'name': 'sihost.exe', 'pid': 10280, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 6.140625}
{'name': 'UserOOBEBroker.exe', 'pid': 10304, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 1.953125}
{'name': 'svchost.exe', 'pid': 10348, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 10.1328125}
{'name': 'cmd.exe', 'pid': 10416, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 3.953125}
{'name': 'svchost.exe', 'pid': 10428, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 3.83203125}
{'name': 'chrome.exe', 'pid': 10560, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 100.00390625}
{'name': 'StartMenuExperienceHost.exe', 'pid': 10856, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 27.1015625}
{'name': 'chrome.exe', 'pid': 10928, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 20.90625}
{'name': 'RuntimeBroker.exe', 'pid': 11056, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 1.3359375}
{'name': 'ctfmon.exe', 'pid': 11116, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 3.984375}
{'name': 'SystemSettings.exe', 'pid': 11172, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 27.63671875}
{'name': 'ShellExperienceHost.exe', 'pid': 11628, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 18.65234375}
{'name': 'csrss.exe', 'pid': 11780, 'username': None, 'vms': 2.41796875}
{'name': 'taskhostw.exe', 'pid': 11852, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 8.13671875}
{'name': 'SearchFilterHost.exe', 'pid': 11868, 'username': None, 'vms': 1.453125}
{'name': 'conhost.exe', 'pid': 11916, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 7.26953125}
{'name': 'SearchApp.exe', 'pid': 11968, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 140.41796875}
{'name': 'Code.exe', 'pid': 12072, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 48.34765625}
{'name': 'chrome.exe', 'pid': 12296, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 11.7734375}
{'name': 'Code.exe', 'pid': 12396, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 22.5390625}
{'name': 'python.exe', 'pid': 12436, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 14.96875}
{'name': 'SearchProtocolHost.exe', 'pid': 12460, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 1.671875}
{'name': 'RtkNGUI64.exe', 'pid': 12504, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 4.4375}
{'name': 'msedge.exe', 'pid': 12700, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 1.984375}
{'name': 'igfxEM.exe', 'pid': 12812, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 3.57421875}
{'name': 'fontdrvhost.exe', 'pid': 13072, 'username': None, 'vms': 1.77734375}
{'name': 'RuntimeBroker.exe', 'pid': 13120, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 9.546875}
{'name': 'dllhost.exe', 'pid': 13276, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 3.47265625}
